SeriesInstanceUID,StudyInstanceUID,Modality,SeriesDescription,BodyPartExamined,SeriesNumber,Collection,Visibility,ImageCount
1.3.6.1.4.1.9590.100.1.2.117041576511324414842508325652101471266,1.3.6.1.4.1.9590.100.1.2.229361142710768138411679379233064924540,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.43873839610761788013224723323225482381,1.3.6.1.4.1.9590.100.1.2.195593486612988388325770883972107282733,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.76741674113167646338262765132488965294,1.3.6.1.4.1.9590.100.1.2.257901172612530623323924356380431605062,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.296931352612305599800425693833437698626,1.3.6.1.4.1.9590.100.1.2.109468616710242115222536802734027827120,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.43665767012035310007732414810147712942,1.3.6.1.4.1.9590.100.1.2.380627129513562450304304820723973964760,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.245633900110007082034118990512969470333,1.3.6.1.4.1.9590.100.1.2.143790815011189157220543617630697462001,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.45131627713144582424202640662752027993,1.3.6.1.4.1.9590.100.1.2.310228111811303452111342857131681135070,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.321062807811123845106490625560193258924,1.3.6.1.4.1.9590.100.1.2.195655760513031195523320296122940320213,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.203989029910964209440425982812598330086,1.3.6.1.4.1.9590.100.1.2.222512969612930058132185640213545114412,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.59331645212722964919598145441897056623,1.3.6.1.4.1.9590.100.1.2.407538725111828839342756496710990319312,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.141408387111896887000146541221335162897,1.3.6.1.4.1.9590.100.1.2.158040480311082280514489245583038014273,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.68828333511045311425255190220373462995,1.3.6.1.4.1.9590.100.1.2.68211530212301111920151819731835709761,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.272420956211500194613015855910561320194,1.3.6.1.4.1.9590.100.1.2.85444085411996591832008959121652619717,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.33355931610429994428806391080346623398,1.3.6.1.4.1.9590.100.1.2.365905386611571212328956412520064192793,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.159789089511044436630882300743522788770,1.3.6.1.4.1.9590.100.1.2.388555962412314837506487579223622875564,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.56869035110310903317304482733636502883,1.3.6.1.4.1.9590.100.1.2.193280672812371093303940934982464215402,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.296736403313792599626368780122205399650,1.3.6.1.4.1.9590.100.1.2.108268213011361124203859148071588939106,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.64813381212358693815004901263092702152,1.3.6.1.4.1.9590.100.1.2.343151401613385821008920899863910962163,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.288520517011500966318936802952535540775,1.3.6.1.4.1.9590.100.1.2.369517521412718360228989065571179179554,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.147482114012307911938186633001212085130,1.3.6.1.4.1.9590.100.1.2.4586106112860215003690049533853711471,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.404492079310175899904958398973193895553,1.3.6.1.4.1.9590.100.1.2.341545636513385281315252931923953735757,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.22885564212153792327692967683344817484,1.3.6.1.4.1.9590.100.1.2.216959935812523308105058830172491212466,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.175852960712358343316382736692949183507,1.3.6.1.4.1.9590.100.1.2.169871419611564236232493329003849226911,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.76712534110963745711128267713288845851,1.3.6.1.4.1.9590.100.1.2.16187637911732898734504093551226968532,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.213306223412919057922055310353393543698,1.3.6.1.4.1.9590.100.1.2.231185404513855083840954118591780522728,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.370020768811676220424047464123530592133,1.3.6.1.4.1.9590.100.1.2.304153155112070673724116883611079168062,MG,full mammogram images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.319754234513367087713627616273085135657,1.3.6.1.4.1.9590.100.1.2.325948016411510152105918980361576719150,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.131192463811742866028293776640059350377,1.3.6.1.4.1.9590.100.1.2.364346280512716621225998442703175122028,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.354393322011557367835928690122016618367,1.3.6.1.4.1.9590.100.1.2.377032410012059916708313855263952658970,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.121509624512877844505779746973203818149,1.3.6.1.4.1.9590.100.1.2.29544096413984966817344380550006885437,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.409200990110466416215781546621650433721,1.3.6.1.4.1.9590.100.1.2.321716362713109736017833724391877170202,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.162889671011150864941513926673992596776,1.3.6.1.4.1.9590.100.1.2.272705940112533619015006765351101093162,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.241483359613697055007511978734165208653,1.3.6.1.4.1.9590.100.1.2.172240564612147365522602574183437704160,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.318639281112853501739829339283535805827,1.3.6.1.4.1.9590.100.1.2.426288002812814192529431202821131881370,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.358637202612132265739909999922066344965,1.3.6.1.4.1.9590.100.1.2.416345288512900290131602912102636499922,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.146178524611063729406388066920149651114,1.3.6.1.4.1.9590.100.1.2.29221944012479452715390109720844694503,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.113558418111732268637097532660568705115,1.3.6.1.4.1.9590.100.1.2.387135762512495669436560303512506393163,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.145721457712034297938803977381245620656,1.3.6.1.4.1.9590.100.1.2.302896701613491892539506252053014687450,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.46569623510024119405014199660743933600,1.3.6.1.4.1.9590.100.1.2.230169163313067881530383840622933586334,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.337372969413997493515788537824040419536,1.3.6.1.4.1.9590.100.1.2.9844656311726895005121327460088823458,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.34723950711667680221563736851544783188,1.3.6.1.4.1.9590.100.1.2.357924054412876235621107582872493553698,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.56929777610892637422240794912036342195,1.3.6.1.4.1.9590.100.1.2.227029217512144842601182404471495161650,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.226129505812120883531621472432273169435,1.3.6.1.4.1.9590.100.1.2.82543818312112052912367597412850058435,MG,full mammogram images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.210459296913189622509341746553908565694,1.3.6.1.4.1.9590.100.1.2.390109777312726772308082495014129859372,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.388636067512527636836953061311268483123,1.3.6.1.4.1.9590.100.1.2.200065548013800148731549237080034414655,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.16879424211887678632529555554160231751,1.3.6.1.4.1.9590.100.1.2.377505108511873938220558647551528186577,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.250811985710699486205298405212768968201,1.3.6.1.4.1.9590.100.1.2.391207121011692606421129376102709922956,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.7604728113021161016894457634011223447,1.3.6.1.4.1.9590.100.1.2.413574416510376274511617355930234100266,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.132783647112588651240602737970051037546,1.3.6.1.4.1.9590.100.1.2.325448549113621732118368068301815371841,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.359217025112290562103270375683711958263,1.3.6.1.4.1.9590.100.1.2.221319962911926501828432367791526580325,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.320866693113864447514884110163742534443,1.3.6.1.4.1.9590.100.1.2.62502724512019571739059690801715953121,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.307103338512116115213353926752905879056,1.3.6.1.4.1.9590.100.1.2.319661772011875589433789374802663693363,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.383285919712986381706460438071667571219,1.3.6.1.4.1.9590.100.1.2.40360014812374148106203081571971384249,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.160240600513539121821203198981527996806,1.3.6.1.4.1.9590.100.1.2.98211648712449732315778382264279295717,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.17156745012986542400543025984098420293,1.3.6.1.4.1.9590.100.1.2.57105759912127552211718120122896718353,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.31146332311125185128443680224251602022,1.3.6.1.4.1.9590.100.1.2.344348964212483343015492279053620334426,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.233968655311589874418573451730392535967,1.3.6.1.4.1.9590.100.1.2.110372532311953740220243449812079518517,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.353867302112941270039183945110799863557,1.3.6.1.4.1.9590.100.1.2.341798085811727543908644131011815865746,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.223637762012707317605195306331476726623,1.3.6.1.4.1.9590.100.1.2.27772621112015623810375876031864741332,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.418663386311316553211879607130443069225,1.3.6.1.4.1.9590.100.1.2.295423065011726325739837790022484543927,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.93214736310245801528234955602638782034,1.3.6.1.4.1.9590.100.1.2.70428642313183087834930582003432541267,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.408053815012156684010240636493066172601,1.3.6.1.4.1.9590.100.1.2.141935267011404411920895399774014618436,MG,full mammogram images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.129308726812851964007517874181459556304,1.3.6.1.4.1.9590.100.1.2.271867287611061855725036643043149877819,MG,cropped images,BREAST,1,CBIS-DDSM,1,1
1.3.6.1.4.1.9590.100.1.2.339485407313131091611051537252619452814,1.3.6.1.4.1.9590.100.1.2.342875456312803501510236350850146587154,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.51184847912600641827700251082226435484,1.3.6.1.4.1.9590.100.1.2.125440116411273208629971564852611688382,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.366379132012403074113789068001199114019,1.3.6.1.4.1.9590.100.1.2.62092062712994892528210810001801265576,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.2800998311573902408253367262894163632,1.3.6.1.4.1.9590.100.1.2.127313611611522407036964909301367901526,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
1.3.6.1.4.1.9590.100.1.2.109202716612382008529359592121254138576,1.3.6.1.4.1.9590.100.1.2.159233399912750546335596794032532454521,MG,ROI mask images,BREAST,1,CBIS-DDSM,1,2
